sample_name,coarse_name,coarse_size,max_particle_size,coarse_pct,clay_name,mix_date,test_date
1,Mancino_angular,2.0-1.0,2,0.6,Fireborn_Porcelain,2020-03-21,2020-03-22
2,Mancino_angular,1.0-0.5,1,0.6,Fireborn_Porcelain,2020-03-21,2020-03-22
3,Mancino_angular,0.5-0.25,0.5,0.6,Fireborn_Porcelain,2020-03-21,2020-03-22
4,Mancino_angular,0.25-0.15,0.25,0.6,Fireborn_Porcelain,2020-03-21,2020-03-22
5,Mancino_angular,0.15-0.05,0.15,0.6,Fireborn_Porcelain,2020-04-08,2020-04-10
6,Mancino_angular,2.0-1.0,2,0.4,Fireborn_Porcelain,2020-04-08,2020-04-10
7,Mancino_angular,1.0-0.5,1,0.4,Fireborn_Porcelain,2020-04-08,2020-04-10
8,Mancino_angular,0.5-0.25,0.5,0.4,Fireborn_Porcelain,2020-04-08,2020-04-10
9,Mancino_angular,0.25-0.15,0.25,0.4,Fireborn_Porcelain,2020-04-08,2020-04-10
10,Mancino_angular,0.15-0.05,0.15,0.4,Fireborn_Porcelain,2020-04-08,2020-04-10
11,Mancino_angular,2.0-1.0,2,0.2,Fireborn_Porcelain,2020-04-15,2020-04-18
12,Mancino_angular,1.0-0.5,1,0.2,Fireborn_Porcelain,2020-04-15,2020-04-18
13,Mancino_angular,0.5-0.25,0.5,0.2,Fireborn_Porcelain,2020-04-15,2020-04-18
14,Mancino_angular,0.25-0.15,0.25,0.2,Fireborn_Porcelain,2020-04-15,2020-04-18
15,Mancino_angular,0.15-0.05,0.15,0.2,Fireborn_Porcelain,2020-04-15,2020-04-18
16,Mancino_angular,2.0-1.0,2,0.8,Fireborn_Porcelain,2020-04-21,2020-04-24
17,Mancino_angular,1.0-0.5,1,0.8,Fireborn_Porcelain,2020-04-21,2020-04-24
18,Mancino_angular,0.5-0.25,0.5,0.8,Fireborn_Porcelain,2020-04-21,2020-04-24
19,Mancino_angular,0.25-0.15,0.25,0.8,Fireborn_Porcelain,2020-04-21,2020-04-24
20,Mancino_angular,0.15-0.05,0.15,0.8,Fireborn_Porcelain,2020-04-21,2020-04-24
21,Mancino_angular,2.0-1.0,2,0.7,Fireborn_Porcelain,2020-04-25,2020-04-28
22,Mancino_angular,1.0-0.5,1,0.7,Fireborn_Porcelain,2020-04-25,2020-04-28
23,Mancino_angular,0.5-0.25,0.5,0.7,Fireborn_Porcelain,2020-04-25,2020-04-28
24,Mancino_angular,0.25-0.15,0.25,0.7,Fireborn_Porcelain,2020-04-25,2020-04-28
25,Mancino_angular,0.15-0.05,0.15,0.7,Fireborn_Porcelain,2020-04-25,2020-04-28
26,Mancino_angular,2.0-1.0,2,0.75,Fireborn_Porcelain,2020-04-30,2020-05-02
27,Mancino_angular,1.0-0.5,1,0.75,Fireborn_Porcelain,2020-04-30,2020-05-02
28,Mancino_angular,0.5-0.25,0.5,0.75,Fireborn_Porcelain,2020-04-30,2020-05-02
29,Mancino_angular,0.25-0.15,0.25,0.75,Fireborn_Porcelain,2020-04-30,2020-05-02
30,Mancino_angular,0.15-0.05,0.15,0.75,Fireborn_Porcelain,2020-04-30,2020-05-02
31,Granusil_4095,1.0-0.5,1,0.2,Fireborn_Porcelain,2020-05-01,2020-05-10
32,Granusil_4095,1.0-0.5,1,0.4,Fireborn_Porcelain,2020-05-01,2020-05-10
33,Granusil_4095,1.0-0.5,1,0.6,Fireborn_Porcelain,2020-05-01,2020-05-10
34,Granusil_4095,1.0-0.5,1,0.7,Fireborn_Porcelain,2020-05-01,2020-05-10
35,Granusil_4095,1.0-0.5,1,0.75,Fireborn_Porcelain,2020-05-01,2020-05-10
36,Granusil_4095,1.0-0.5,1,0.8,Fireborn_Porcelain,2020-05-01,2020-05-10
37,Mancino_angular,2.0-1.0,2,0,Fireborn_Porcelain,2020-04-25,2020-04-28
38,Mancino_angular,1.0-0.5,1,0,Fireborn_Porcelain,2020-04-25,2020-04-28
39,Mancino_angular,0.5-0.25,0.5,0,Fireborn_Porcelain,2020-04-25,2020-04-28
40,Mancino_angular,0.25-0.15,0.25,0,Fireborn_Porcelain,2020-04-25,2020-04-28
41,Mancino_angular,0.15-0.05,0.15,0,Fireborn_Porcelain,2020-04-25,2020-04-28
42,Granusil_4095,1.0-0.5,1,0,Fireborn_Porcelain,2020-05-01,2020-05-10
43,Flint_325_Sil-co-sil_52,0.05-0.002,0.05,0.2,Fireborn_Porcelain,2021-02-09,2021-02-10
44,Flint_325_Sil-co-sil_52,0.05-0.002,0.05,0.4,Fireborn_Porcelain,2021-02-09,2021-02-10
45,Flint_325_Sil-co-sil_52,0.05-0.002,0.05,0.6,Fireborn_Porcelain,2021-02-09,2021-02-10
46,Flint_325_Sil-co-sil_52,0.05-0.002,0.05,0.7,Fireborn_Porcelain,2021-02-09,2021-02-10
47,Flint_325_Sil-co-sil_52,0.05-0.002,0.05,0.75,Fireborn_Porcelain,2021-02-09,2021-02-10
48,Flint_325_Sil-co-sil_52,0.05-0.002,0.05,0.8,Fireborn_Porcelain,2021-02-09,2021-02-10
49,Flint_325_Sil-co-sil_52,0.05-0.002,0.05,0,Fireborn_Porcelain,2021-02-09,2021-02-10
