test_type,date,experiment_name,sample_name,batch_sample_number,replication,tin_number,tin_w_wet_sample,tin_w_OD_sample,tin_tare_set,comments
PL,2022-02-21,sand-sizes-by-clay-type,promound_coarse_60,1,1,,,,2021-03-04,-
PL,2022-02-21,sand-sizes-by-clay-type,promound_coarse_60,1,2,,,,2021-03-04,-
PL,2022-02-21,sand-sizes-by-clay-type,promound_coarse_60,1,3,,,,2021-03-04,-
PL,2022-02-21,sand-sizes-by-clay-type,no-6-tile_coarse_60,2,1,,,,2021-03-04,-
PL,2022-02-21,sand-sizes-by-clay-type,no-6-tile_coarse_60,2,2,,,,2021-03-04,-
PL,2022-02-21,sand-sizes-by-clay-type,no-6-tile_coarse_60,2,3,,,,2021-03-04,-
PL,2022-02-21,sand-sizes-by-clay-type,duraedge-fs-90_coarse_60,3,1,,,,2021-03-04,-
PL,2022-02-21,sand-sizes-by-clay-type,duraedge-fs-90_coarse_60,3,2,,,,2021-03-04,-
PL,2022-02-21,sand-sizes-by-clay-type,duraedge-fs-90_coarse_60,3,3,,,,2021-03-04,-
PL,2022-02-21,sand-sizes-by-clay-type,promound_coarse_60,4,1,,,,2021-03-04,-
PL,2022-02-21,sand-sizes-by-clay-type,promound_coarse_60,4,2,,,,2021-03-04,-
PL,2022-02-21,sand-sizes-by-clay-type,promound_coarse_60,4,3,,,,2021-03-04,-
PL,2022-02-21,sand-sizes-by-clay-type,no-6-tile_fine_60,5,1,,,,2021-03-04,-
PL,2022-02-21,sand-sizes-by-clay-type,no-6-tile_fine_60,5,2,,,,2021-03-04,-
PL,2022-02-21,sand-sizes-by-clay-type,no-6-tile_fine_60,5,3,,,,2021-03-04,-
PL,2022-02-21,sand-sizes-by-clay-type,duraedge-fs-90_fine_60,6,1,,,,2021-03-04,-
PL,2022-02-21,sand-sizes-by-clay-type,duraedge-fs-90_fine_60,6,2,,,,2021-03-04,-
PL,2022-02-21,sand-sizes-by-clay-type,duraedge-fs-90_fine_60,6,3,,,,2021-03-04,-
