expt_sand_number,sand_name,sand_size,rep,cylinder_ID,sand_configuration,preparation_method,compaction_lifts,compaction_moisture,filled_wt,ht_reading_raw,ht_reading_corrected_mm,tin_tare_set,tin_number,tin_w_wet_sample,tin_w_OD_sample,experiment_number
1,Mancino_angular,2.0-1.0 mm,1,1,loose,funnel_pour,1,air_dry,435.48,-,-,2020-05-24,-,-,-,1
1,Mancino_angular,2.0-1.0 mm,2,1,loose,funnel_pour,1,air_dry,427.83,-,-,2020-05-24,-,-,-,1
1,Mancino_angular,2.0-1.0 mm,3,1,loose,funnel_pour,1,air_dry,433.54,-,-,2020-05-24,-,-,-,1
2,Mancino_angular,1.0-0.5 mm,1,1,loose,funnel_pour,1,air_dry,426.83,-,-,2020-05-24,-,-,-,1
2,Mancino_angular,1.0-0.5 mm,2,1,loose,funnel_pour,1,air_dry,430.41,-,-,2020-05-24,-,-,-,1
2,Mancino_angular,1.0-0.5 mm,3,1,loose,funnel_pour,1,air_dry,417.76,-,-,2020-05-24,-,-,-,1
3,Mancino_angular,0.5-0.25 mm,1,1,loose,funnel_pour,1,air_dry,405.34,-,-,2020-05-24,-,-,-,1
3,Mancino_angular,0.5-0.25 mm,2,1,loose,funnel_pour,1,air_dry,405.12,-,-,2020-05-24,-,-,-,1
3,Mancino_angular,0.5-0.25 mm,3,1,loose,funnel_pour,1,air_dry,400.82,-,-,2020-05-24,-,-,-,1
4,Mancino_angular,0.25-0.15 mm,1,1,loose,funnel_pour,1,air_dry,385,-,-,2020-05-24,-,-,-,1
4,Mancino_angular,0.25-0.15 mm,2,1,loose,funnel_pour,1,air_dry,389.47,-,-,2020-05-24,-,-,-,1
4,Mancino_angular,0.25-0.15 mm,3,1,loose,funnel_pour,1,air_dry,391.33,-,-,2020-05-24,-,-,-,1
5,Mancino_angular,0.15-0.05 mm,1,1,loose,funnel_pour,1,air_dry,374.11,-,-,2020-05-24,-,-,-,1
5,Mancino_angular,0.15-0.05 mm,2,1,loose,funnel_pour,1,air_dry,372.26,-,-,2020-05-24,-,-,-,1
5,Mancino_angular,0.15-0.05 mm,3,1,loose,funnel_pour,1,air_dry,375.03,-,-,2020-05-24,-,-,-,1
