expt_sand_number,microns,pct_passing
1,6350,1
1,4750,1
1,4000,1
1,3360,1
1,2000,1
1,1000,0.02292558668906841
1,500,0.02124546095062596
1,250,0.015392119668310555
1,150,0.010080754430654149
1,53,0.0060701317001790045
1,20,0.005419760446594884
1,2,0.001083952089318977
2,6350,1
2,4750,1
2,4000,1
2,3360,1
2,2000,1
2,1000,0.8257605177993528
2,500,0.0893203883495145
2,250,0.013915857605177995
2,150,0.01352750809061487
2,53,0.013268608414239491
2,20,0.0012944983818786047
2,2,0.0012944983818878027
3,6350,1
3,4750,1
3,4000,1
3,3360,1
3,2000,1
3,1000,1
3,500,1
3,250,0.0044999999999999485
3,150,0.004249999999999976
3,53,0.004187500000000011
3,20,0.0012500000000015277
3,2,0.0012500000000015277
4,6350,1
4,4750,1
4,4000,1
4,3360,1
4,2000,1
4,1000,0.9991829551882345
4,500,0.9985544591791842
4,250,0.9610960970397838
4,150,0.1629061655458487
4,53,0.003770976054301989
4,20,0.0012569920181022213
4,2,0.0012569920181111527
5,6350,1
5,4750,1
5,4000,1
5,3360,1
5,2000,1
5,1000,1
5,500,0.9995612591861358
5,250,0.9970384995064165
5,150,0.9725786991334869
5,53,0.007568279039157688
5,20,0.006581112207955601
5,2,0.0021937040693237294
