expt_mix_num,test_type,rep,tin_w_wet_sample,tin_w_OD_sample,tin_tare,comments
11,AL,1,12.06,11.346,7.249,-
11,AL,2,10.361,9.862,7.182,-
11,AL,3,10.265,9.771,7.25,-
11,AL,4,12.062,11.337,7.115,-
11,AL,5,13.255,12.374,7.266,-
11,AL,6,11.46,10.802,7.25,-
12,AL,1,12.802,11.979,7.165,-
12,AL,2,12.419,11.636,7.127,-
12,AL,3,12.457,11.697,7.285,-
13,AL,1,11.919,11.226,7.232,-
13,AL,2,14.367,13.273,7.097,-
13,AL,3,12.82,11.962,7.097,-
14,AL,1,11.593,10.959,7.056,-
14,AL,2,12.878,12.055,7.214,-
14,AL,3,12.163,11.437,7.204,-
14,AL,4,13.157,12.25,7.223,-
14,AL,5,12.925,12.048,7.198,-
14,AL,6,12.014,11.324,7.162,-
15,AL,1,11.676,10.95,7.166,-
15,AL,2,10.908,10.378,7.157,-
15,AL,3,11.626,11.003,7.246,-
15,AL,4,12.903,12.039,7.097,-
15,AL,5,12.959,12.094,7.246,-
15,AL,6,11.531,10.868,7.179,-
