date,experiment_name,sample_name,replication,batch_sample_number,tin_tare_set,tin_number,tin_w_wet_sample,tin_w_OD_sample,comments
2021-01-16,SelectingClaysJan2021,Bentonite 325M,1,1,2020-05-24,25,11.757,11.234,-
2021-01-16,SelectingClaysJan2021,Bentonite Volclay 200M,1,2,2020-05-24,26,12.863,12.266,-
2021-01-16,SelectingClaysJan2021,Kentucky Stone,1,3,2020-05-24,27,11.93,11.818,-
2021-01-16,SelectingClaysJan2021,Kentucky KT1,1,4,2020-05-24,28,10.385,10.341,-
2021-01-16,SelectingClaysJan2021,OM4,1,5,2020-05-24,29,10.963,10.884,-
2021-01-16,SelectingClaysJan2021,#6 Tile,1,6,2020-05-24,30,10.05,9.968,-
2021-01-16,SelectingClaysJan2021,EPK,1,7,2020-05-24,31,11.526,11.466,-
2021-01-16,SelectingClaysJan2021,Sheffield,1,8,2020-05-24,32,13.124,12.93,-
2021-01-16,SelectingClaysJan2021,Flint 200 Sil-co-sil 75,1,9,2020-05-24,33,14.308,14.307,-
2021-01-16,SelectingClaysJan2021,Flint 325 Sil-co-sil 52,1,10,2020-05-24,34,13.8,13.799,-
