date,experiment_name,sample_name,replication,batch_sample_number,air_dry_specimen_mass_for_test,comments
2021-01-16,SelectingClaysJan2021,Bentonite 325M,1,1,10.009,-
2021-01-16,SelectingClaysJan2021,Bentonite Volclay 200M,1,2,10.02,-
2021-01-16,SelectingClaysJan2021,Kentucky Stone,1,3,10.049,-
2021-01-16,SelectingClaysJan2021,Kentucky KT1,1,4,10.024,-
2021-01-16,SelectingClaysJan2021,OM4,1,5,10.024,-
2021-01-16,SelectingClaysJan2021,#6 Tile,1,6,10.095,-
2021-01-16,SelectingClaysJan2021,EPK,1,7,10.068,-
2021-01-16,SelectingClaysJan2021,Sheffield,1,8,10.784,-
2021-01-16,SelectingClaysJan2021,Flint 200 Sil-co-sil 75,1,9,10.142,-
2021-01-16,SelectingClaysJan2021,Flint 325 Sil-co-sil 52,1,10,10.054,-
